name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Hồ Chí Minh, Việt Nam",1/21/2019,33.6,24.4,28.1,35.9,24.4,29.4,21.8,70.7,0,0,0,,0,0,29.5,16.6,25.6,1011.2,42.8,9.9,222.3,19.3,8,,2019-01-21T06:16:38,2019-01-21T17:52:09,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/22/2019,33,23,27.5,34.9,23,28.7,21.2,70.8,0.1,100,4.17,rain,0,0,27.7,15.5,109.9,1012.2,44.9,9.6,227.3,19.7,8,,2019-01-22T06:16:44,2019-01-22T17:52:37,0.53,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/23/2019,32,22,26.5,32.2,22,26.8,18.9,64.8,0,0,0,,0,0,34.2,17.6,72.8,1012.5,46.7,10.3,240.7,20.8,8,,2019-01-23T06:16:48,2019-01-23T17:53:05,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/24/2019,32.6,20.6,26.6,31.1,20.6,26.3,16,56.1,0,0,0,,0,0,30.2,14.8,132.6,1012.7,39.2,9.6,261.6,22.6,9,,2019-01-24T06:16:52,2019-01-24T17:53:32,0.6,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/25/2019,32.6,21,26.6,31.6,21,26.5,17.4,61.4,0,0,0,,0,0,25.2,13.4,25.7,1013.5,29,8.9,262.2,22.8,9,,2019-01-25T06:16:54,2019-01-25T17:53:59,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/26/2019,33,22,26.9,33,22,27.1,19.1,66.1,0,0,0,,0,0,24.8,13,36,1012.9,33.6,9.2,233.9,20.1,8,,2019-01-26T06:16:56,2019-01-26T17:54:25,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/27/2019,33,22.4,27,33.5,22.4,27.4,18.5,61.7,0,0,0,,0,0,29.2,14.8,67,1013,31.9,9.6,216.3,18.8,8,,2019-01-27T06:16:56,2019-01-27T17:54:50,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/28/2019,32.6,23,27.2,33.4,23,27.8,19.9,67.1,0,0,0,,0,0,29.9,16.6,142.7,1012.4,26.8,8.8,257.5,22.2,9,,2019-01-28T06:16:55,2019-01-28T17:55:15,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/29/2019,32.9,23,27.5,33.9,23,28.4,19.8,64.9,0,0,0,,0,0,28.8,15.8,117.5,1012.3,35.5,9.7,216.5,18.8,9,,2019-01-29T06:16:54,2019-01-29T17:55:40,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/30/2019,35.2,25,28.9,35.5,25,29.2,18.5,56.1,0,0,0,,0,0,29.2,18.4,92.9,1012.1,46.6,10.1,233.6,20.2,8,,2019-01-30T06:16:51,2019-01-30T17:56:04,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",1/31/2019,33.6,23,28.1,33.9,23,28.6,17.7,54.4,0,0,0,,0,0,28.1,15.5,114.8,1012.6,40.6,10.3,232.7,20.2,9,,2019-01-31T06:16:47,2019-01-31T17:56:27,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/1/2019,33.1,23,27.7,34.1,23,28.9,20.6,67,0,0,0,,0,0,32,14,154.9,1012.3,48.8,10.3,221.1,19.3,9,,2019-02-01T06:16:42,2019-02-01T17:56:49,0.87,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/2/2019,33.6,25.4,28.4,35.3,25.4,29.4,19.7,60.2,0,0,0,,0,0,28.4,16.6,129.4,1011.7,48,10.3,230.2,19.8,9,,2019-02-02T06:16:36,2019-02-02T17:57:11,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/3/2019,33.5,25.9,28.6,35.6,25.9,29.7,19.8,60.3,0,0,0,,0,0,33.1,17.3,137.4,1012.4,38.8,10.3,213,18.4,9,,2019-02-03T06:16:29,2019-02-03T17:57:33,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/4/2019,33,25,28.4,36,25,30,21.6,67.9,0,0,0,,0,0,29.5,19.6,130,1012.7,40,10.3,224.5,19.5,8,,2019-02-04T06:16:21,2019-02-04T17:57:54,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/5/2019,33.3,25.9,28.3,35.6,25.9,29.6,20.3,62.7,0.1,100,4.17,rain,0,0,32.4,19.9,137.6,1012.6,52,10.3,222.2,19.2,9,,2019-02-05T06:16:12,2019-02-05T17:58:14,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/6/2019,33.6,25,28.3,36.3,25,29.6,21.1,66.2,0,0,0,,0,0,42.5,19.9,141.8,1011.5,47.6,10.3,233.4,20.1,9,,2019-02-06T06:16:03,2019-02-06T17:58:33,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/7/2019,33.2,25,28.3,36.7,25,30.1,22.6,73.1,0,0,0,,0,0,31.7,18.9,147.5,1012,46.6,10.3,219.9,18.9,9,,2019-02-07T06:15:52,2019-02-07T17:58:52,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/8/2019,33.4,25,28,37.5,25,30.1,23.2,76.8,0,0,0,,0,0,32,18.4,148.9,1011.6,39.2,10.3,247.8,21.2,8,,2019-02-08T06:15:40,2019-02-08T17:59:10,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/9/2019,32.2,24.9,27.4,36.5,24.9,29.1,23,78.1,0,0,0,,0,0,34.2,18.4,150.3,1012.2,57.7,10.3,217,18.7,7,,2019-02-09T06:15:27,2019-02-09T17:59:28,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/10/2019,34,24.6,28.3,35.6,24.6,29,19.8,62.7,0,0,0,,0,0,42.5,22.3,136.8,1013.6,25.9,10.3,271.6,23.3,9,,2019-02-10T06:15:13,2019-02-10T17:59:45,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/11/2019,35,21.6,28.6,35.9,21.6,29.4,19.3,60.2,0,0,0,,0,0,38.2,25.2,125,1014.1,34.6,10.3,269.4,23.3,9,,2019-02-11T06:14:58,2019-02-11T18:00:01,0.21,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/12/2019,35.6,26.1,29.6,36.3,26.1,30.6,19.1,55.1,0.2,100,8.33,rain,0,0,50,23.1,96.6,1014.6,38.4,10.3,222.8,19.2,9,,2019-02-12T06:14:42,2019-02-12T18:00:17,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/13/2019,34.8,24,28.6,35.7,24,29.1,17.8,53.6,0,0,0,,0,0,38.9,19.6,118.8,1014.3,31.7,10.3,262.4,22.6,9,,2019-02-13T06:14:26,2019-02-13T18:00:32,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/14/2019,34.6,23,28.8,34.9,23,29.4,18.6,56.4,0,0,0,,0,0,46.4,22,114.8,1012.8,29,10.3,240.7,20.7,9,,2019-02-14T06:14:08,2019-02-14T18:00:46,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/15/2019,35,24.9,29.1,33.7,24.9,29.1,16.8,50.2,0,0,0,,0,0,40.7,24.1,112.8,1013.3,28.2,10.3,281.1,24.3,10,,2019-02-15T06:13:50,2019-02-15T18:01:00,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/16/2019,34.6,23,28.7,36,23,29.8,20,62.3,0,0,0,,0,0,40.7,18.2,136.3,1012.6,32.7,10.3,267,23,9,,2019-02-16T06:13:31,2019-02-16T18:01:13,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/17/2019,33.4,25,28.5,35.4,25,30,22,69.7,0.1,100,4.17,rain,0,0,37.1,18.4,146.2,1011.9,43.2,10.3,233.7,20.2,8,,2019-02-17T06:13:11,2019-02-17T18:01:26,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/18/2019,33.1,25,28.4,35.8,25,30.5,23.1,74.9,0.7,100,20.83,rain,0,0,33.5,21.6,147.8,1011.8,55.7,10.3,217.7,18.9,7,,2019-02-18T06:12:50,2019-02-18T18:01:38,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/19/2019,33,25,28.5,37,25,30.7,23,74,0,0,0,,0,0,37.4,22,139.3,1012.8,45.9,10.6,227.2,19.7,8,,2019-02-19T06:12:28,2019-02-19T18:01:49,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS,remote"
"Hồ Chí Minh, Việt Nam",2/20/2019,34,25,29,37,25,31,22.5,70.3,0.1,100,4.17,rain,0,0,38.9,18.9,133.5,1013.9,44.3,10.3,258.1,22.4,9,,2019-02-20T06:12:05,2019-02-20T18:02:00,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/21/2019,33.9,26,29.2,38.8,26,32.3,23.1,71.2,0.5,100,8.33,rain,0,0,38.9,20.5,136.1,1012.9,37.7,10.3,256.6,22.1,9,,2019-02-21T06:11:42,2019-02-21T18:02:11,0.55,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/22/2019,32,26,28.4,37.9,26,31.4,22.9,72.9,0.7,100,16.67,rain,0,0,40,19.9,143.5,1011.5,58,10.2,204,17.6,7,,2019-02-22T06:11:18,2019-02-22T18:02:20,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/23/2019,33,26,28.3,36.1,26,29.7,21.2,66.6,0,0,0,,0,0,40.3,20.7,133,1010.4,43.9,10.3,219.6,19,8,,2019-02-23T06:10:53,2019-02-23T18:02:29,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/24/2019,33.6,25.5,28.2,37.2,25.5,29.8,21.2,66.7,0,0,0,,0,0,36,21.3,148,1010.5,29.6,10.3,261,22.7,10,,2019-02-24T06:10:28,2019-02-24T18:02:38,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/25/2019,34.2,26,28.7,37,26,30.2,21.1,65.2,0,0,0,,0,0,46.4,23.4,129.6,1010.9,29.2,10.3,284.8,24.7,10,,2019-02-25T06:10:02,2019-02-25T18:02:46,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/26/2019,34.6,25.9,29,35.7,25.9,29.8,19.7,59,0,0,0,,0,0,46.4,17.8,120.9,1010.6,41.7,10.3,280.5,24.3,10,,2019-02-26T06:09:35,2019-02-26T18:02:54,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/27/2019,35,24.4,29,35.7,24.4,29.9,19.3,58.3,0,0,0,,0,0,36.4,20,118.5,1009.1,28.6,10.3,290.2,25.1,10,,2019-02-27T06:09:07,2019-02-27T18:03:01,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",2/28/2019,34,25.9,28.8,35.1,25.9,29.7,19.9,61.1,0,0,0,,0,0,35.6,19.9,132,1009.6,29.8,10.3,264.5,22.8,10,,2019-02-28T06:08:39,2019-02-28T18:03:08,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",3/1/2019,34,25,28.5,35.7,25,29.6,20.7,64.8,0,0,0,,0,0,36.7,21.3,129.9,1010.2,40.1,10.3,265.2,23,9,,2019-03-01T06:08:11,2019-03-01T18:03:14,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",3/2/2019,32.8,25,28.1,34.4,25,28.8,19.8,62.3,0,0,0,,0,0,41.4,20.1,135.7,1009.7,45.5,10.3,265.9,23,10,,2019-03-02T06:07:41,2019-03-02T18:03:20,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",3/3/2019,32,23,27.6,34.1,23,28.6,20.7,67.1,0,0,0,,0,0,35.3,17.1,151.5,1009.1,41.4,10,264.9,22.9,10,,2019-03-03T06:07:12,2019-03-03T18:03:25,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",3/4/2019,32,24.9,27.6,34.9,24.9,28.9,21.6,70.9,0,0,0,,0,0,34.2,17.6,151.9,1009.3,39.8,10.3,279.8,24.1,10,,2019-03-04T06:06:41,2019-03-04T18:03:30,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",3/5/2019,33.6,24.4,28.1,34.7,24.4,29.1,20.7,66.6,0,0,0,,0,0,34.2,17.3,152.1,1010.1,28.4,10.3,295.6,25.4,10,,2019-03-05T06:06:10,2019-03-05T18:03:34,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",3/6/2019,34.6,23.6,28.5,36.4,23.6,30.3,22.1,71.3,0,0,0,,0,0,27.4,17.6,168.5,1010.9,35.9,10.1,290.3,24.9,10,,2019-03-06T06:05:39,2019-03-06T18:03:38,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",3/7/2019,33.4,25,28.4,38.1,25,30.8,23.1,74.5,0,0,0,,0,0,32,19.5,172.4,1010.5,32.1,10.3,272.5,23.5,10,,2019-03-07T06:05:07,2019-03-07T18:03:42,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",3/8/2019,34,25.9,28.8,36.1,25.9,31,22.7,71.5,0,0,0,,0,0,31,17.6,151.1,1010.9,38.1,10.3,274.6,23.6,10,,2019-03-08T06:04:35,2019-03-08T18:03:45,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",3/9/2019,34,25.9,29.3,37.3,25.9,31.9,22.6,69.4,0,0,0,,0,0,31,18.4,155.3,1010.7,37.8,10.3,266.7,23,10,,2019-03-09T06:04:02,2019-03-09T18:03:48,0.09,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",3/10/2019,35,26,29.5,37.7,26,32.3,22.9,69.9,0,0,0,,0,0,23.4,18.2,172.8,1011.1,40.7,10.3,269.6,23.3,10,,2019-03-10T06:03:29,2019-03-10T18:03:51,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",3/11/2019,35.6,25.9,29.7,40.4,25.9,33.6,24,73.4,0,0,0,,0,0,26.3,19.2,188.1,1010.8,50.8,10.3,265.7,22.9,10,,2019-03-11T06:02:56,2019-03-11T18:03:53,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",3/12/2019,34,26.9,29.3,38.9,30.4,33.8,24.2,75.1,0.5,100,12.5,rain,0,0,30.6,18.5,168.5,1011.3,48.3,10.3,245.3,21.1,9,,2019-03-12T06:02:22,2019-03-12T18:03:55,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",3/13/2019,35.4,26.9,29.9,39.8,30.1,34.4,23.9,72.1,0,0,0,,0,0,29.2,18.4,148.7,1012,42.2,10.3,190.4,16.5,8,,2019-03-13T06:01:48,2019-03-13T18:03:57,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",3/14/2019,33.6,27,29.3,37.7,30.1,32.8,22.9,69.6,0.2,100,4.17,rain,0,0,27.7,18.9,145.5,1012.9,57.2,10.3,163,14.1,6,,2019-03-14T06:01:14,2019-03-14T18:03:59,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",3/15/2019,36,26,29.8,37.8,26,32.7,22.7,68.2,0.1,100,4.17,rain,0,0,34.6,18.4,138.3,1012,31,10.2,280.6,24.1,10,,2019-03-15T06:00:39,2019-03-15T18:04:00,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
"Hồ Chí Minh, Việt Nam",3/16/2019,35,26.8,30,37.4,29.3,33.5,22.6,66.3,0.1,100,4.17,rain,0,0,28.1,18.4,139.8,1012.4,41.8,9.6,254.3,21.9,9,,2019-03-16T06:00:04,2019-03-16T18:04:01,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48894099999,48900099999,VVTS"
