name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Đà Nẵng, Việt Nam",2010-01-13,23,18,20.2,23,18,20.2,15.9,76.6,0.012,100,8.33,rain,,,,16.6,335.8,1021.4,91.8,8,169.6,14.7,7,,2010-01-13T06:18:02,2010-01-13T17:33:24,0.93,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-01-14,24.1,18.1,20.4,24.1,18.1,20.4,16.3,77.6,2.544,100,12.5,rain,,,,18.4,330,1022,89.7,6.9,162,14.1,7,,2010-01-14T06:18:10,2010-01-14T17:34:00,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-01-15,24.1,19,20.8,24.1,19,20.8,17.4,81.1,0.299,100,4.17,rain,,,,16.6,349.4,1020.7,85.3,6.5,202,17.4,8,,2010-01-15T06:18:18,2010-01-15T17:34:36,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-01-16,25.1,16.8,22.3,25.1,16.8,22.3,18.1,77.9,0.502,100,8.33,rain,,,,22.3,32.6,1021.7,85.2,6.6,151.2,13,5,,2010-01-16T06:18:25,2010-01-16T17:35:11,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-01-17,25,16.9,21.7,25,16.9,21.7,16.8,74.3,4.085,100,8.33,rain,,,,18.4,38.8,1022.1,65.9,6.5,190.7,16.5,8,,2010-01-17T06:18:30,2010-01-17T17:35:47,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-01-18,22.2,19,20.1,22.2,19,20.1,18,87.8,1.996,100,8.33,rain,,,,16.6,330.2,1020.1,82.4,5.8,161.6,13.8,6,,2010-01-18T06:18:34,2010-01-18T17:36:22,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-01-19,23.2,18,21,23.2,18,21,19,88.3,4.12,100,12.5,rain,,,,16.6,351.2,1017.2,91.7,6.2,123.5,10.7,5,,2010-01-19T06:18:37,2010-01-19T17:36:57,0.13,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-01-20,24.7,22,22.4,24.7,22,22.4,20.9,91.3,2.054,100,16.67,rain,,,,20.5,358.9,1015.1,91.2,6.5,114.7,9.9,4,,2010-01-20T06:18:39,2010-01-20T17:37:32,0.16,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-01-21,25.1,21,22.6,25.1,21,22.6,20.7,88.9,16.968,100,12.5,rain,,,,18.4,352.5,1015.1,84.6,8.3,148.5,12.9,6,,2010-01-21T06:18:40,2010-01-21T17:38:06,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-01-22,26.1,19.5,23.8,26.1,19.5,23.8,22.1,90.3,0.996,100,4.17,rain,,,,20.5,119.7,1015.9,90.7,8,225.5,19.6,8,,2010-01-22T06:18:39,2010-01-22T17:38:41,0.23,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-01-23,26.2,21.7,24,26.2,21.7,24,21,84,0.059,100,4.17,rain,,,,16.6,76.5,1017.1,75.5,7.7,196.9,17,7,,2010-01-23T06:18:37,2010-01-23T17:39:14,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-01-24,26.1,20,22.6,26.1,20,22.6,18.3,76.8,0.002,100,4.17,rain,,,,27.7,3.8,1017.7,59.4,11.9,206.2,17.8,8,,2010-01-24T06:18:34,2010-01-24T17:39:48,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-01-25,26,18.4,22.3,26,18.4,22.3,19.1,83.1,0.001,100,4.17,rain,,,,16.6,9.8,1018.4,76.8,10.8,236.2,20.5,8,,2010-01-25T06:18:30,2010-01-25T17:40:21,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-01-26,25.1,18.4,22.1,25.1,18.4,22.1,19.6,85.8,13.009,100,12.5,rain,,,,13,14.4,1019.2,86.9,7.3,203.4,17.6,7,,2010-01-26T06:18:25,2010-01-26T17:40:54,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-01-27,26,20,22.2,26,20,22.2,18.8,82,0,0,0,,,,,20.5,353.4,1017.1,60.3,8,244,20.9,9,,2010-01-27T06:18:19,2010-01-27T17:41:26,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-01-28,26.2,17.1,22.7,26.2,17.1,22.7,19.4,82.4,0,0,0,,,,,24.1,9.5,1015.7,64.8,6.9,254.9,21.9,9,,2010-01-28T06:18:11,2010-01-28T17:41:57,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-01-29,28.1,18.3,23.7,30.9,18.3,24.1,20.9,84.8,0,0,0,,,,,16.6,124.4,1016.1,61.3,9,223,19.2,8,,2010-01-29T06:18:02,2010-01-29T17:42:29,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-01-30,28,22,24.8,29.7,22,25.2,20.5,78,0,0,0,,,,,18.4,134.3,1015.2,55.6,8.2,249.8,21.6,9,,2010-01-30T06:17:52,2010-01-30T17:43:00,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-01-31,28,21,24.2,30.2,21,24.7,20.3,79.4,0,0,0,,,,,18.4,138.9,1014.5,53.9,9.5,255.5,22,9,,2010-01-31T06:17:41,2010-01-31T17:43:30,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-02-01,29,20,24.2,32.1,20,24.7,20.5,81,0,0,0,,,,,34.1,131.8,1013.1,43.7,8.4,257.4,22.2,9,,2010-02-01T06:17:29,2010-02-01T17:44:00,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-02-02,28,18.1,24.3,30.7,18.1,24.9,20.7,81.5,0,0,0,,,,,22.3,149.7,1012.2,38,10.6,251.8,21.6,9,,2010-02-02T06:17:15,2010-02-02T17:44:29,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-02-03,29,20.6,25,32.8,20.6,25.6,21.1,81.7,0,0,0,,,,,22.3,137.5,1012.3,53.6,9.4,244.3,20.9,9,,2010-02-03T06:17:01,2010-02-03T17:44:58,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-02-04,28.7,23,25.3,30.9,23,25.9,21.4,80,0,0,0,,,,,22.3,135,1013.2,54.7,8.2,237.7,20.7,9,,2010-02-04T06:16:45,2010-02-04T17:45:26,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-02-05,29,23,25.5,32.1,23,26.2,21.8,80.7,0,0,0,,,,,20.5,136.8,1013.4,64.6,9.3,254.1,22.1,9,,2010-02-05T06:16:28,2010-02-05T17:45:54,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-02-06,29,19.8,25.4,31.4,19.8,26,21.7,80.7,0,0,0,,,,,20.5,137.7,1013.3,64.3,7.9,255.2,22,9,,2010-02-06T06:16:10,2010-02-06T17:46:21,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-02-07,29,22,25.2,32.8,22,26.1,22.2,83.9,0,0,0,,,,,20.5,134.3,1013.5,65.6,8.2,250.8,21.7,9,,2010-02-07T06:15:51,2010-02-07T17:46:48,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-02-08,28.7,23,25.5,31.1,23,26.3,22,81.7,0,0,0,,,,,22.3,143.1,1012.5,57.1,7,249,21.4,9,,2010-02-08T06:15:31,2010-02-08T17:47:14,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-02-09,28.1,22.6,25.1,30.8,22.6,25.8,21.4,80.3,0,0,0,,,,,22.3,141.8,1012,47.4,7.6,261.4,22.6,9,,2010-02-09T06:15:10,2010-02-09T17:47:39,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-02-10,29.1,22,25.2,32.8,22,26,21.6,81.5,0,0,0,,,,,18.4,144.8,1011.4,42,7.1,268,23.1,9,,2010-02-10T06:14:48,2010-02-10T17:48:04,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-02-11,30,19,25.1,32.7,19,25.9,21.6,81.3,0,0,0,,,,,16.6,129.7,1012.5,44.6,7.3,261.4,22.8,9,,2010-02-11T06:14:25,2010-02-11T17:48:29,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-02-12,28.2,23,25.4,31.6,23,26.3,22.5,84.3,0,0,0,,,,,16.6,112.5,1014.1,56.2,7.6,255.4,21.9,9,,2010-02-12T06:14:01,2010-02-12T17:48:53,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-02-13,27,24,25,29.2,24,25.4,22.2,84.8,0,0,0,,,,,14.8,105.3,1014.8,59.6,7.3,229.4,19.8,9,,2010-02-13T06:13:36,2010-02-13T17:49:16,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-02-14,30,18.7,25,31.9,18.7,25.6,20.9,79.2,0,0,0,,,,,20.5,148.4,1012.2,55,8.3,262.9,22.8,9,,2010-02-14T06:13:10,2010-02-14T17:49:39,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-02-15,27.5,19.5,23.7,28.8,19.5,23.7,20.7,83.8,0.004,100,4.17,rain,,,,24.1,13.6,1014.3,73.5,8.7,264.4,22.9,9,,2010-02-15T06:12:43,2010-02-15T17:50:01,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-02-16,28,21.9,23.7,28.9,21.9,23.9,18.4,72.9,0.006,100,8.33,rain,,,,27.7,357,1016.8,74.1,11,236.5,20.4,9,,2010-02-16T06:12:15,2010-02-16T17:50:22,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-02-17,26,20.2,22.4,26,20.2,22.4,17,71.9,0.021,100,12.5,rain,,,53.6,35.3,349.9,1017.9,86,10.9,222.7,19.4,9,,2010-02-17T06:11:46,2010-02-17T17:50:43,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-02-18,25.1,16.8,21.3,25.1,16.8,21.3,16.2,73.2,0.001,100,4.17,rain,,,,18.4,348,1019.1,87.3,12.2,204.2,17.5,7,,2010-02-18T06:11:16,2010-02-18T17:51:04,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-02-19,24,15.7,20.8,24,15.7,20.8,14.5,67.9,0.005,100,8.33,rain,,,48.2,29.5,340.9,1019.2,85.1,13,205,17.5,8,,2010-02-19T06:10:46,2010-02-19T17:51:24,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-02-20,24,18,20.5,24,18,20.5,15.2,71.9,0,0,0,,,,,20.5,1.3,1017.5,89.1,9.4,229.1,19.5,8,,2010-02-20T06:10:14,2010-02-20T17:51:43,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-02-21,26.1,20.7,23.2,26.1,20.7,23.2,18.6,76.1,0,0,0,,,,,14.8,123.3,1014.4,72.8,6.6,200.9,17.4,8,,2010-02-21T06:09:42,2010-02-21T17:52:02,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-02-22,24.2,20.1,22.7,24.2,20.1,22.7,20.4,86.9,0.3,100,12.5,rain,,,,11.2,22.7,1013.9,87.2,6,73.8,6.2,2,,2010-02-22T06:09:09,2010-02-22T17:52:21,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-02-23,28.7,22,24.3,30.6,22,24.6,20.7,81.3,0.001,100,4.17,rain,,,,14,147.9,1012.2,80.5,6.1,251.3,21.7,9,,2010-02-23T06:08:35,2010-02-23T17:52:39,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-02-24,29,18.6,24.9,31.6,18.6,25.7,21.9,84,0,0,0,,,,,15,123.4,1009.2,63.8,6.7,216.4,18.5,8,,2010-02-24T06:08:01,2010-02-24T17:52:56,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-02-25,35,22,26.8,37.7,22,28,21.4,74.7,0,0,0,,,,,20.5,167.4,1009,47.2,7.3,268.7,23.1,9,,2010-02-25T06:07:26,2010-02-25T17:53:13,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-02-26,34.1,20.6,27,39.5,20.6,28.5,22,76.1,0,0,0,,,,,11.2,146.5,1008.7,45.1,7.6,252.2,21.8,9,,2010-02-26T06:06:50,2010-02-26T17:53:30,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-02-27,31,23,26.3,35.5,23,27.7,22.3,79.4,0,0,0,,,,,16.6,123.4,1009.2,48.3,7.4,248.6,21.5,9,,2010-02-27T06:06:13,2010-02-27T17:53:46,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-02-28,30,23,25.9,34.5,23,27.1,22.9,84.2,0,0,0,,,,,20.5,119,1010.8,55.8,6.8,214.3,18.6,8,,2010-02-28T06:05:36,2010-02-28T17:54:01,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-03-01,30.1,22.2,25.8,34.4,22.2,26.8,22,80.8,0,0,0,,,,,18.4,134.6,1011.4,50.2,7.4,254.5,21.9,9,,2010-03-01T06:04:58,2010-03-01T17:54:16,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-03-02,31,21.1,25.8,35.1,21.1,26.9,21.8,79.9,0,0,0,,,,,16.6,139.1,1010.2,60.1,8.5,252.9,21.8,9,,2010-03-02T06:04:19,2010-03-02T17:54:31,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-03-03,30,22.3,26.2,34.3,22.3,27.6,22.7,81.6,0,0,0,,,,,27.9,128.4,1009,60.5,7.2,263.8,23,9,,2010-03-03T06:03:40,2010-03-03T17:54:45,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-03-04,30,24,26,34.2,24,27.2,22.6,82.1,0,0,0,,,,,18.4,120.8,1008.8,50.5,6.7,260.2,22.5,9,,2010-03-04T06:03:01,2010-03-04T17:54:59,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-03-05,30,22.1,26.2,35.4,22.1,27.7,22.8,82.1,0,0,0,,,,,22.3,124.9,1008.7,44.9,6.6,268.2,23.1,9,,2010-03-05T06:02:21,2010-03-05T17:55:13,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-03-06,33,20.9,26.5,38.1,20.9,28,22.1,78.2,0,0,0,,,,,18.4,130.4,1009.6,52.1,7,270.9,23.4,9,,2010-03-06T06:01:40,2010-03-06T17:55:26,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-03-07,30.2,24,26.3,34.5,24,27.6,22.5,80.4,0,0,0,,,,,16.6,71.7,1011,46.7,6,267.3,23.2,9,,2010-03-07T06:00:59,2010-03-07T17:55:39,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-03-08,27.1,24,25.5,29.7,24,26.2,22.1,81.8,0.001,100,4.17,rain,,,,18.4,101.1,1012.6,79.2,5.2,250.9,21.8,9,,2010-03-08T06:00:17,2010-03-08T17:55:51,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-03-09,26,20,23.2,26,20,23.2,17.7,71.7,0.047,100,12.5,rain,,,35.3,27.7,349.6,1019.4,91.1,8.9,143,12.4,5,,2010-03-09T05:59:35,2010-03-09T17:56:03,0.78,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-03-10,22,16.3,20,22,16.3,20,13.8,67.9,0.055,100,12.5,rain,,,,18.4,335.5,1023.7,91.3,10,123.2,10.7,4,,2010-03-10T05:58:53,2010-03-10T17:56:15,0.81,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-03-11,23,18.8,20.3,23,18.8,20.3,15.1,72.2,0.002,100,4.17,rain,,,,22.3,0.3,1021.8,92.1,7.2,200.3,17.3,8,,2010-03-11T05:58:10,2010-03-11T17:56:27,0.85,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-03-12,28,20,23.6,28.6,20,23.7,18,72.2,0,0,0,,,,,18.4,158.5,1017.2,69.9,6.7,280.5,24.3,10,,2010-03-12T05:57:27,2010-03-12T17:56:38,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-03-13,30,17.7,24.5,32.6,17.7,25.4,20.8,80.9,0,0,0,,,,,20.5,141.2,1012.8,54,7.2,278.8,24.3,10,,2010-03-13T05:56:44,2010-03-13T17:56:49,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999,remote"
"Đà Nẵng, Việt Nam",2010-03-14,31,22,25.9,34.6,22,26.9,21.5,78.4,0,0,0,,,,,18.4,130.5,1010.7,56.3,6.1,283,24.5,10,,2010-03-14T05:56:00,2010-03-14T17:57:00,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-03-15,29,22,25.5,31.4,22,26.3,21.8,81,0,0,0,,,,,24.1,126.4,1011.5,58.9,6.5,272,23.7,9,,2010-03-15T05:55:16,2010-03-15T17:57:11,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-03-16,30,23,26.1,33,23,27,21.9,78.7,0,0,0,,,,,14.8,61.8,1015.9,48.9,8.6,300.9,26,10,,2010-03-16T05:54:32,2010-03-16T17:57:21,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-03-17,30,24,26.2,32.6,24,27.2,21.6,76.2,0.076,100,8.33,rain,,,,18.4,68.6,1018.9,57.6,7.6,291.8,25.1,10,,2010-03-17T05:53:47,2010-03-17T17:57:31,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48855099999,VVDN,48852099999"
"Đà Nẵng, Việt Nam",2010-03-18,27,18.9,24.8,28.8,18.9,25,20.3,76.7,0,0,0,,,,,18.4,36.3,1019,59.3,7.7,291.6,25.1,10,,2010-03-18T05:53:03,2010-03-18T17:57:41,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48855099999,VVDN,48852099999,remote"
